Ticker,Date,Closing Price,Price + All Divs Received (No DRIP)
WNTR,2025-05-21,37.93,40.649
WNTR,2025-05-22,38.17,40.889
WNTR,2025-05-23,39.28,41.999
WNTR,2025-05-27,39.44,42.159
WNTR,2025-05-28,40.3,43.019
WNTR,2025-05-29,39.72,42.439
WNTR,2025-05-30,39.93,42.649
WNTR,2025-06-02,39.93,42.649
WNTR,2025-06-03,38.42,41.139
WNTR,2025-06-04,39.36,42.079
WNTR,2025-06-05,36.95,42.742
WNTR,2025-06-06,36.7,42.492
WNTR,2025-06-09,35.59,41.382
WNTR,2025-06-10,35.62,41.412
WNTR,2025-06-11,36.02,41.812
WNTR,2025-06-12,36.58,42.372
WNTR,2025-06-13,36.43,42.222
WNTR,2025-06-16,36.74,42.532
WNTR,2025-06-17,37.08,42.872
WNTR,2025-06-18,37.6,43.392
WNTR,2025-06-20,37.88,43.672
WNTR,2025-06-23,37.98,43.772
WNTR,2025-06-24,37.33,43.122
WNTR,2025-06-25,36.27,42.062
WNTR,2025-06-26,36.49,42.282
WNTR,2025-06-27,36.71,42.502
WNTR,2025-06-30,35.27,41.062
WNTR,2025-07-01,37.07,42.862
WNTR,2025-07-02,35.53,41.322
WNTR,2025-07-03,33.42,41.067
WNTR,2025-07-07,33.91,41.557
WNTR,2025-07-08,33.83,41.477
WNTR,2025-07-09,32.65,40.297
WNTR,2025-07-10,32.42,40.067
WNTR,2025-07-11,31.5,39.147
WNTR,2025-07-14,30.43,38.077
WNTR,2025-07-15,30.79,38.437
WNTR,2025-07-16,30.32,37.967
WNTR,2025-07-17,30.35,37.997
WNTR,2025-07-18,31.45,39.097
WNTR,2025-07-21,31.42,39.067
WNTR,2025-07-22,31.18,38.827
WNTR,2025-07-23,31.75,39.397
WNTR,2025-07-24,31.54,39.187
WNTR,2025-07-25,32.06,39.707
WNTR,2025-07-28,32.32,39.967
WNTR,2025-07-29,32.77,40.417
WNTR,2025-07-30,32.93,40.577
WNTR,2025-07-31,30.87,40.172
WNTR,2025-08-01,32.01,41.312
WNTR,2025-08-04,31.25,40.552
WNTR,2025-08-05,31.96,41.262
WNTR,2025-08-06,31.72,41.022
WNTR,2025-08-07,30.26,39.562
WNTR,2025-08-08,30.55,39.852
WNTR,2025-08-11,30.26,39.562
WNTR,2025-08-12,30.76,40.062
WNTR,2025-08-13,31.09,40.392
WNTR,2025-08-14,32.09,41.392
WNTR,2025-08-15,32.24,41.542
WNTR,2025-08-18,32.56,41.862
WNTR,2025-08-19,34.1,43.402
WNTR,2025-08-20,33.82,43.122
WNTR,2025-08-21,34.28,43.582
WNTR,2025-08-22,32.67,41.972
WNTR,2025-08-25,33.78,43.082
WNTR,2025-08-26,33.3,42.602
WNTR,2025-08-27,34.16,43.462
WNTR,2025-08-28,32.16,43.66
WNTR,2025-08-29,32.59,44.09
WNTR,2025-09-02,32.16,43.66
WNTR,2025-09-03,33.05,44.55
WNTR,2025-09-04,33.32,44.82
WNTR,2025-09-05,33.26,44.76
WNTR,2025-09-08,33.87,45.37
WNTR,2025-09-09,33.89,45.39
WNTR,2025-09-10,34.35,45.85
WNTR,2025-09-11,34.1,45.6
WNTR,2025-09-12,33.78,45.28
WNTR,2025-09-15,34.1,45.6
WNTR,2025-09-16,33.72,45.22
WNTR,2025-09-17,34.31,45.81
WNTR,2025-09-18,32.47,43.97
WNTR,2025-09-19,32.91,44.41
WNTR,2025-09-22,33.61,45.11
WNTR,2025-09-23,34.08,45.58
WNTR,2025-09-24,34.45,45.95
WNTR,2025-09-25,31.8,46.595
WNTR,2025-09-26,31.11,45.905
